Season,Team,Basic (5yr),3yr,1yr,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2024,Angels,101,101,101,100,97,101,105,102,100,100,100,102,92,101
2024,Orioles,99,98,98,103,96,101,99,99,97,100,100,103,98,99
2024,Red Sox,104,102,102,104,109,115,98,98,101,103,98,99,101,100
2024,White Sox,100,98,97,100,96,87,105,99,101,99,105,98,104,103
2024,Guardians,99,100,105,100,100,87,98,101,101,100,96,98,96,99
2024,Tigers,100,103,99,100,100,118,96,98,102,99,102,101,108,100
2024,Royals,103,103,106,103,108,123,95,97,101,103,101,105,96,100
2024,Twins,101,103,103,101,105,93,99,100,103,99,101,97,103,100
2024,Yankees,99,99,101,97,95,85,104,100,101,98,105,97,102,102
2024,Athletics,96,97,100,100,100,100,90,100,100,100,100,101,101,97
2024,Mariners,94,92,89,95,93,79,96,104,97,97,99,96,105,96
2024,Rays,96,98,100,96,98,102,96,102,101,97,99,96,100,97
2024,Rangers,99,97,93,98,100,93,102,101,100,99,102,100,97,101
2024,Blue Jays,99,100,103,98,102,90,103,100,99,100,100,101,100,101
2024,Diamondbacks,101,100,104,103,105,120,91,99,99,103,98,105,97,97
2024,Braves,100,100,97,101,99,100,99,102,99,101,98,101,94,98
2024,Cubs,98,96,87,100,94,109,98,101,99,100,97,100,100,98
2024,Reds,105,102,107,101,101,84,114,101,102,99,101,101,109,105
2024,Rockies,113,114,108,108,111,135,107,96,102,107,97,109,92,105
2024,Marlins,101,102,113,102,101,109,97,100,102,102,99,101,97,100
2024,Astros,99,100,102,99,100,110,102,102,100,99,97,101,99,100
2024,Dodgers,99,98,97,96,98,84,110,100,97,98,101,96,98,103
2024,Brewers,99,98,98,96,97,105,104,104,101,96,103,97,103,100
2024,Nationals,100,100,99,100,99,96,100,98,98,100,102,99,101,100
2024,Mets,96,98,98,97,94,87,99,101,102,97,101,96,110,99
2024,Phillies,101,102,101,99,97,102,105,101,100,99,100,100,104,102
2024,Pirates,102,102,104,103,105,98,93,97,101,101,102,103,97,100
2024,Cardinals,98,99,98,101,99,89,94,97,97,101,101,99,103,98
2024,Padres,96,97,99,97,95,86,101,102,100,98,102,98,104,99
2024,Giants,97,96,97,102,102,110,91,98,97,104,97,98,94,96
